,date,calories,steps,dist,floors,sedant,active_light,active_fair,active_very,active_cals,sleep_start_hr,sleep_minutesAsleep,sleep_minutesAwake,sleep_awakeningsCount,sleep_timeInBed,sleep_REM,sleep_light,sleep_deep,sleep_start,sleep_efficiency
59,2018-06-29,2368,6903,5.13,13,1440,0,0,0,0,,,,,,,,,,
60,2018-06-30,2574,11013,8.18,12,1222,129,45,44,1110,,,,,,,,,,
61,2018-05-01,2829,9145,6.79,2,568,287,67,10,1540,1.62,449.0,59.0,4.0,508.0,,,,01:37,88.0
62,2018-05-02,2983,11756,8.73,8,545,267,41,48,1707,0.98,477.0,57.0,3.0,539.0,,,,00:59,89.0
63,2018-05-03,2546,7936,5.9,24,815,178,22,34,1115,1.13,336.0,52.0,4.0,391.0,,,,01:08,87.0
64,2018-05-04,3046,13233,9.83,31,1357,54,13,16,439,,,,,,,,,,
65,2018-05-05,3410,17047,12.67,2,1440,0,0,0,0,,,,,,,,,,
66,2018-05-06,2658,7676,5.7,11,1440,0,0,0,0,,,,,,,,,,
67,2018-05-07,2843,10496,7.81,24,1440,0,0,0,0,,,,,,,,,,
68,2018-05-08,2557,8419,6.33,21,1440,0,0,0,0,,,,,,,,,,
69,2018-05-09,3250,13676,10.33,20,1440,0,0,0,0,,,,,,,,,,
70,2018-05-10,2983,12911,9.59,15,1440,0,0,0,0,,,,,,,,,,
71,2018-05-11,3241,14432,10.72,23,1037,194,31,18,1061,5.1,145.0,14.0,1.0,160.0,,,,05:06,91.0
72,2018-05-12,2663,8431,6.26,5,567,339,5,3,1317,0.9,457.0,69.0,2.0,526.0,,,,00:54,87.0
73,2018-05-13,2299,6009,4.46,0,676,205,5,3,842,0.87,469.0,82.0,4.0,551.0,,,,00:52,85.0
74,2018-05-14,3293,13094,9.57,28,715,237,48,71,1962,1.68,344.0,24.0,1.0,369.0,,,,01:41,93.0
75,2018-05-15,2938,12191,9.06,3,571,312,33,35,1651,1.53,430.0,59.0,42.0,489.0,100.0,242.0,88.0,01:32,88.0
76,2018-05-16,2968,11022,8.09,25,732,227,26,54,1586,1.08,349.0,52.0,28.0,401.0,63.0,194.0,92.0,01:05,87.0
77,2018-05-17,2694,9025,6.71,14,864,111,30,33,856,1.03,331.0,71.0,22.0,402.0,61.0,185.0,85.0,01:02,82.0
78,2018-05-18,3597,17811,13.23,28,1440,0,0,0,0,,,,,,,,,,
79,2018-05-19,2235,5405,4.02,0,1440,0,0,0,0,,,,,,,,,,
80,2018-05-20,2527,8867,6.59,7,1440,0,0,0,0,,,,,,,,,,
81,2018-05-21,3071,10771,7.92,18,1440,0,0,0,0,,,,,,,,,,
82,2018-05-22,2828,10569,7.85,24,1440,0,0,0,0,,,,,,,,,,
83,2018-05-23,3014,12060,8.88,24,1440,0,0,0,0,,,,,,,,,,
84,2018-05-24,2509,8090,6.01,19,1440,0,0,0,0,,,,,,,,,,
85,2018-05-25,1654,278,0.21,0,1440,0,0,0,0,,,,,,,,,,
86,2018-05-26,2652,8381,6.26,21,1440,0,0,0,0,,,,,,,,,,
87,2018-05-27,3018,15147,11.25,7,1440,0,0,0,0,,,,,,,,,,
88,2018-05-28,3229,13135,9.73,18,1440,0,0,0,0,,,,,,,,,,
89,2018-05-29,2967,12131,9.01,32,1440,0,0,0,0,,,,,,,,,,
90,2018-05-30,3268,12576,9.15,22,1440,0,0,0,0,,,,,,,,,,
91,2018-05-31,2519,8700,6.46,23,1440,0,0,0,0,,,,,,,,,,
92,2018-04-01,1622,1425,1.06,2,1440,0,0,0,0,,,,,,,,,,
93,2018-04-02,3266,12952,9.56,23,1440,0,0,0,0,,,,,,,,,,
94,2018-04-03,2664,8733,6.49,24,1440,0,0,0,0,,,,,,,,,,
95,2018-04-04,3228,10830,7.92,27,1440,0,0,0,0,,,,,,,,,,
96,2018-04-05,3040,12920,9.64,23,762,165,41,63,1471,1.02,387.0,22.0,2.0,409.0,,,,01:01,95.0
